accession	gene	protein_name	length	organism	organism_taxon_id	disease_uniprot_name	disease_uniprot_id	disease_acronym	mim_id	uniprot_url
I6YGX2	ponA2	Penicillin-binding protein A2	810	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6YGX2
L7N648	PE6	PE family protein PE6	171	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/L7N648
L7N6A5	manB	Mannose-1-phosphate guanylyltransferase	359	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/L7N6A5
O06334	mhpE	Oxaloacetate decarboxylase	336	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O06334
O06624	ripD	Peptidoglycan-binding protein RipD	230	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O06624
O06825		Probable L,D-transpeptidase 3	271	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O06825
O07434	ricR	Copper-sensing transcriptional repressor RicR	96	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O07434
O07747	rpfC	Resuscitation-promoting factor RpfC	176	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O07747
O07776	tcrA	Transcriptional regulatory protein TcrA	253	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O07776
O53165		HTH-type transcriptional repressor Rv1474c	187	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53165
P71592	whiB5	Transcriptional regulator WhiB5	139	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P71592
P95251	mce3R	Transcriptional repressor Mce3R	406	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P95251
P9WF37	whiB6	Probable transcriptional regulator WhiB6	116	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WF37
P9WFA5	vapC11	Ribonuclease VapC11	134	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFA5
P9WFC7	uvrB	UvrABC system protein B	719	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFC7
P9WFX5	trpD	Anthranilate phosphoribosyltransferase	370	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFX5
P9WFZ1	trmI	tRNA (adenine(58)-N(1))-methyltransferase TrmI	280	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFZ1
P9WG37	kdc	Alpha-keto-acid decarboxylase	560	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WG37
P9WG51		Lysoplasmalogenase	261	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WG51
P9WG77	thiD	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	275	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WG77
P9WGD5	ssb	Single-stranded DNA-binding protein	164	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGD5
P9WGE5	speE	Polyamine aminopropyltransferase	523	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGE5
P9WGK7	prrB	Sensor-type histidine kinase PrrB	446	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGK7
P9WGT9	pstS2	Phosphate-binding protein PstS 2	370	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGT9
P9WGV1	metK	S-adenosylmethionine synthase	403	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGV1
P9WGX5	rskA	Anti-sigma-K factor RskA	232	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGX5
P9WH09	rmlD	dTDP-4-dehydrorhamnose reductase	304	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WH09
P9WH63	rpsL	Small ribosomal subunit protein uS12	124	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WH63
P9WHE9	ribH	6,7-dimethyl-8-ribityllumazine synthase	160	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHE9
P9WHU5	ripB	Peptidoglycan endopeptidase RipB	241	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHU5
P9WHW3	ppiA	Peptidyl-prolyl cis-trans isomerase A	182	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHW3
P9WI47	PPE2	PPE family protein PPE2	556	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WI47
P9WIB1	plcC	Phospholipase C C	517	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIB1
P9WIG3	PE_PGRS3	PE-PGRS family protein PE_PGRS3	957	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIG3
P9WII5	mazF4	Endoribonuclease MazF4	105	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WII5
P9WIP3	menA	1,4-dihydroxy-2-naphthoate octaprenyltransferase	292	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIP3
P9WIT9	argF	Ornithine carbamoyltransferase	307	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIT9
P9WIY3	mutT1	8-oxo-(d)GTP phosphatase	317	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIY3
P9WIZ5	mntH	Divalent metal cation transporter MntH	428	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIZ5
P9WJ71	rsdA	Anti-sigma-D factor RsdA	299	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJ71
P9WJ87	mazE6	Antitoxin MazE6	82	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJ87
P9WJC5	espI	ESX-1 secretion-associated protein EspI	666	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJC5
P9WJD5	espD	ESX-1 secretion-associated protein EspD	184	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJD5
P9WJJ7	nadC	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	285	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJJ7
P9WK91	lipA	Lipoyl synthase	311	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WK91
P9WKA7		Putative diacyglycerol O-acyltransferase Rv3480c	497	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKA7
P9WKB1		Putative diacyglycerol O-acyltransferase Rv3087	472	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKB1
P9WKG5	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	159	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKG5
P9WME9		HTH-type transcriptional repressor Rv2887	139	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WME9
P9WMM5	priA	Phosphoribosyl isomerase A	244	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMM5
P9WMR7		dITP/XTP pyrophosphatase	204	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMR7
P9WMV9	choD	Cholesterol oxidase	578	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMV9
P9WN43	glgC	Glucose-1-phosphate adenylyltransferase	404	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WN43
P9WNA5	eccC5	ESX-5 secretion system protein EccC5	1391	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNA5
P9WNV9	dnaJ1	Chaperone protein DnaJ 1	395	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNV9
P9WNY9	menJ	Menaquinone reductase	408	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNY9
P9WNZ5	desA2	Putative acyl-[acyl-carrier-protein] desaturase DesA2	275	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNZ5
P9WPB1	mmaA1	Mycolic acid methyltransferase MmaA1	286	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPB1
P9WPB9	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	426	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPB9
P9WPJ1	cas6	CRISPR-associated endoribonuclease Cas6	314	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPJ1
P9WPX9	aroB	3-dehydroquinate synthase	362	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPX9
P9WPZ5	dapC	Probable N-succinyldiaminopimelate aminotransferase DapC	397	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPZ5
P9WQ09	mutY	Adenine DNA glycosylase	304	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQ09
P9WQ11	nth	Endonuclease III	245	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQ11
P9WQ89		Histidinol-phosphate aminotransferase Rv2231c	364	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQ89
P9WQB9	adhD	Putative alcohol dehydrogenase D	368	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQB9
P9WQF1	mbtL	Acyl carrier protein MbtL	84	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQF1
I6XEI5		Putative peptidoglycan hydrolase Rv2525c	240	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6XEI5
I6Y3V5	ipdE1	Acyl-CoA dehydrogenase IpdE1	385	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6Y3V5
L7N6B0	lpqI	Beta-hexosaminidase LpqI	388	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/L7N6B0
O06159	bkdC	Dihydrolipoyllysine-residue acyltransferase component of branched-chain alpha-ketoacid dehydrogenase complex	393	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O06159
O06291	htrA1	Probable serine protease HtrA1	528	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O06291
O06413		Fatty acyl-CoA reductase Rv0547c	294	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O06413
O53554	ilvX	Putative acetolactate synthase large subunit IlvX	515	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53554
O53604	darT	DNA ADP-ribosyl transferase	230	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53604
P71650	mazF9	Endoribonuclease MazF9	118	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P71650
P71658	mihF	Integration host factor	105	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P71658
P71668	lipI	Esterase LipI	320	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P71668
P95004	vapC20	23S rRNA-specific endonuclease VapC20	131	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P95004
P96402	lipC	Esterase LipC	403	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P96402
P9WFS9	valS	Valine--tRNA ligase	886	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFS9
P9WGC5	sucC	Succinate--CoA ligase [ADP-forming] subunit beta	387	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGC5
P9WGG5	sigG	ECF RNA polymerase sigma factor SigG	370	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGG5
P9WGM5	narL	Probable transcriptional regulatory protein NarL	216	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGM5
P9WGN1	kdpE	Transcriptional regulatory protein KdpE	226	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGN1
P9WHP5	pspA	PspA protein	270	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHP5
P9WHV5	ppx1	Exopolyphosphatase 1	344	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHV5
P9WHV9	ppk	Polyphosphate kinase	742	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHV9
P9WIC5		Chorismate pyruvate-lyase	199	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIC5
P9WIC9	gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	249	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIC9
P9WIT3		L-gulono-1,4-lactone dehydrogenase	428	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIT3
P9WJC3	espJ	ESX-1 secretion-associated protein EspJ	280	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJC3
P9WJZ7		Probable O-methyltransferase Rv1220c	224	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJZ7
P9WKA5		Putative diacyglycerol O-acyltransferase Rv3740c	448	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKA5
P9WKG7	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	318	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKG7
P9WKI1	ino1	Inositol-3-phosphate synthase	367	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKI1
P9WKK9	leuB	3-isopropylmalate dehydrogenase	336	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKK9
P9WKX5	bagA	ATPase BagA	340	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKX5
P9WKZ7		Beta-phosphoglucomutase	262	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKZ7
P9WMI1	ramB	HTH-type transcriptional regulator RamB	474	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMI1
P9WMI5	smtB	HTH-type transcriptional repressor SmtB	135	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMI5
P9WMJ3	virS	HTH-type transcriptional regulator VirS	340	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMJ3
P9WMQ5	mfd	Transcription-repair-coupling factor	1234	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMQ5
P9WMY7	mshA	D-inositol 3-phosphate glycosyltransferase	480	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMY7
P9WN37	glnA2	Glutamine synthetase	446	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WN37
P9WNT1	dinB2	DNA polymerase IV 2	346	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNT1
P9WNT9	dnaX	DNA polymerase III subunit gamma/tau	578	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNT9
P9WNW1	dnaG	DNA primase	639	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNW1
P9WPC3	clpP2	ATP-dependent Clp protease proteolytic subunit 2	214	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPC3
P9WPF5	pks10	Polyketide synthase-like Pks10	353	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPF5
P9WPF9		Cyclo(L-tyrosyl-L-tyrosyl) synthase	289	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPF9
P9WPI3	eccA3	ESX-3 secretion system protein EccA3	631	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPI3
P9WPK3	carB	Carbamoyl phosphate synthase large chain	1115	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPK3
P9WQF3	acpM	Meromycolate extension acyl carrier protein	115	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQF3
P9WQL7		Fluoroquinolones export ATP-binding protein Rv2688c	301	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQL7
Q79FN7	moxR1	Chaperone MoxR1	377	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/Q79FN7
Q79FR5	PE11	Esterase PE11	100	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/Q79FR5
I6WZK7	mmcO	Multicopper oxidase MmcO	504	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6WZK7
I6X8R5		Heme-binding protein Rv0203	136	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6X8R5
I6XA42	tacT	tRNA-acetylating toxin	166	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/I6XA42
L7N697	PE16	Esterase PE16	528	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/L7N697
O05797	moaR1	Transcriptional regulatory protein MoaR1	311	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O05797
O05892	alkX	HTH-type transcriptional regulator AlkX	211	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O05892
O06553		F420H(2)-dependent reductase Rv1155	147	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O06553
O06581	prpR	HTH-type transcriptional regulator PrpR	486	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O06581
O07431		Catechol O-methyltransferase	220	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O07431
O33361	OprA	Osmosensory protein A	158	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O33361
O53182	korA	2-oxoglutarate oxidoreductase subunit KorA	653	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53182
O53380	dacB1	D-alanyl-D-alanine carboxypeptidase DacB1	405	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53380
O53590	sigM	ECF RNA polymerase sigma factor SigM	196	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53590
O53637	hddA	D-glycero-alpha-D-manno-heptose 7-phosphate kinase	386	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O53637
O69730	tcrX	Probable transcriptional regulatory protein TcrX	234	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O69730
O86312	raaS	HTH-type transcriptional regulatory protein RaaS	212	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O86312
O86372		Beta-D-galactosidase Rv1717	116	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/O86372
P0CL62	mazF7	Probable endoribonuclease MazF7	136	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P0CL62
P71741		Trehalase	680	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P71741
P71864	kstD	3-oxosteroid 1-dehydrogenase	563	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P71864
P96917	vapC5	Ribonuclease VapC5	135	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P96917
P9WF11	nnr	Bifunctional NAD(P)H-hydrate repair enzyme Nnr	473	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WF11
P9WFE9	ureB	Urease subunit beta	104	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WFE9
P9WG55	tig	Trigger factor	466	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WG55
P9WG75	thiE	Thiamine-phosphate synthase	222	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WG75
P9WGH7	sigK	ECF RNA polymerase sigma factor SigK	187	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGH7
P9WGY5	rpoZ	DNA-directed RNA polymerase subunit omega	110	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGY5
P9WGZ1	rpoA	DNA-directed RNA polymerase subunit alpha	347	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WGZ1
P9WH03	rnc	Ribonuclease 3	240	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WH03
P9WH77	nrdZ	Vitamin B12-dependent ribonucleoside-diphosphate reductase	706	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WH77
P9WHJ5	rbpA	RNA polymerase-binding protein RbpA	111	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHJ5
P9WHL7	purL	Phosphoribosylformylglycinamidine synthase subunit PurL	766	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHL7
P9WHM5	purN	Phosphoribosylglycinamide formyltransferase	215	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WHM5
P9WI87	mtp	Pilin	103	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WI87
P9WI95	phoU2	Phosphate-specific transport system accessory protein PhoU homolog 2	213	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WI95
P9WIG7	PE35	PE family immunomodulator PE35	99	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIG7
P9WII9	pdxS	Pyridoxal 5'-phosphate synthase subunit PdxS	299	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WII9
P9WIK7	papA2	Trehalose-2-sulfate acyltransferase PapA2	468	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIK7
P9WIK9	papA1	2'-acyl-2-O-sulfo-trehalose (hydroxy)phthioceranyltransferase PapA1	511	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIK9
P9WIX5	nudC	NAD-capped RNA hydrolase NudC	313	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WIX5
P9WJ73		3'-5' exoribonuclease Rv2179c	168	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJ73
P9WJI9	pncB1	Nicotinate phosphoribosyltransferase pncB1	448	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJI9
P9WJM5	msrA	Peptide methionine sulfoxide reductase MsrA	182	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJM5
P9WJM9	mshC	L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase	414	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJM9
P9WJR9	moaC1	Cyclic pyranopterin monophosphate synthase 1	170	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WJR9
P9WKA9		Putative diacyglycerol O-acyltransferase Rv3371	446	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKA9
P9WKB5		Putative diacyglycerol O-acyltransferase Rv2285	445	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKB5
P9WKB7		Putative diacyglycerol O-acyltransferase Rv0221	469	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKB7
P9WKF7	mbtG	L-lysine N6-monooxygenase MbtG	431	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKF7
P9WKI3	guaB1	GMP reductase	479	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKI3
P9WKZ3		dTDP-4-amino-4,6-dideoxyglucose formyltransferase	234	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WKZ3
P9WL45	chdC	Coproheme decarboxylase	231	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WL45
P9WM25	aosR	Oxidative stress regulator AosR	218	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WM25
P9WMJ5	blaI	Transcriptional regulator BlaI	138	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMJ5
P9WMR5	dinG	ATP-dependent helicase DinG	664	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMR5
P9WMZ3	pimB	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	385	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WMZ3
P9WN29	glnD	Bifunctional uridylyltransferase/uridylyl-removing enzyme	808	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WN29
P9WN49	glmS	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	624	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WN49
P9WN87	furA	Transcriptional regulator FurA	147	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WN87
P9WNE9		NADPH oxidoreductase	380	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNE9
P9WNG5	fabD	Malonyl CoA-acyl carrier protein transacylase	302	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNG5
P9WNJ5	esxL	ESAT-6-like protein EsxL	94	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNJ5
P9WNL9	embA	Probable arabinosyltransferase A	1094	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNL9
P9WNS5	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	154	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNS5
P9WNT5	dnaE2	Error-prone DNA polymerase	1098	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNT5
P9WNU5	polA	DNA polymerase I	904	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WNU5
P9WP33	cysO	Sulfur carrier protein CysO	93	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WP33
P9WPC5	clpP1	ATP-dependent Clp protease proteolytic subunit 1	200	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPC5
P9WPC9	clpC1	ATP-dependent Clp protease ATP-binding subunit ClpC1	848	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPC9
P9WPL1	cyp144	Cytochrome P450 144	434	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPL1
P9WPV9	ipdB	Cholesterol ring-cleaving hydrolase IpdB subunit	250	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WPV9
P9WQ01	argB	Acetylglutamate kinase	294	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQ01
P9WQD3	acpS	Holo-[acyl-carrier-protein] synthase	130	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQD3
P9WQG9	aac	Aminoglycoside 2'-N-acetyltransferase	181	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQG9
P9WQJ1		Drug eflux ATP-binding/permease protein Rv1273c	582	Mycobacterium tuberculosis	83332					https://rest.uniprot.org/uniprotkb/P9WQJ1
